Player,Team,Pos,PPP
Oliver Bonk,PHI,D,0
Charles Alexis Legault,CAR,D,0
Carter Yakemchuk,OTT,D,1
Sacha Boisvert,CHI,C,0
Brendan Smith,CBJ,D,0
Travis Hamonic,DET,D,0
Nicolas Deslauriers,"PHI,CAR",LW,0
Chris Tanev,TOR,D,0
Colin Miller,WPG,D,1
Nicolas Aube-Kubel,MIN,RW,0
Juho Lammikko,NJD,C,0
Philippe Myers,TOR,D,0
Dennis Cholowski,NJD,D,0
Michael Kesselring,BUF,D,0
Logan O'Connor,COL,RW,0
Jack Ahcan,COL,D,0
Kevin Korchinski,CHI,D,0
Kirill Kudryavtsev,VAN,D,0
Oscar Fisker Molgaard,SEA,C,0
Drew Fortescue,NYR,D,0
Wilmer Skoog,FLA,C,0
Evgenii Dadonov,NJD,LW,0
Ryan Graves,PIT,D,0
Dakota Mermis,TOR,D,0
Cameron Hughes,DAL,C,0
Kevin Rooney,UTA,C,0
Riley Tufte,BOS,LW,1
Matt Luff,STL,RW,0
Angus Crookshank,NJD,C,0
Nolan Foote,FLA,LW,0
Sam Colangelo,ANA,RW,0
Ethan Cardwell,SJS,RW,0
Mikael Pyyhtia,CBJ,LW,0
Matt Rempe,NYR,C,0
Owen Beck,MTL,C,0
