Player,Team,Position,Off. Zone Starts,Off. Zone Start %,Off. Zone Faceoffs,Off. Zone Faceoff %
Joshua Roy,MTL,R,4,44.44,5,35.71
Logan O'Connor,COL,R,14,37.84,21,33.33
J.J. Moser,T.B,D,163,49.24,446,53.48
Dominic Toninato,CHI,C,11,55,17,50
Ville Koivunen,PIT,R,67,67,139,65.26
Parker Kelly,COL,C,102,46.58,201,43.51
Dylan Cozens,OTT,C,253,60.82,367,57.17
Stephen Halliday,OTT,C,42,70,61,59.22
Charles Alexis Legault,CAR,D,22,57.89,49,56.98
Clayton Keller,UTA,R,277,69.6,487,64.67
Rutger McGroarty,PIT,R,34,57.63,76,60.8
Nikita Kucherov,T.B,R,222,67.27,414,60
Matthew Tkachuk,FLA,L,59,49.58,130,55.08
Martin Necas,COL,C,253,68.56,530,62.13
Leo Carlsson,ANA,C,157,65.42,334,63.86
Samuel Honzek,CGY,L,25,29.41,52,34.67
Tomas Hertl,VGK,C,229,61.39,414,60.35
Justin Robidas,CAR,C,6,75,10,58.82
Anthony Cirelli,T.B,C,165,56.51,290,53.31
Chris Kreider,ANA,L,194,65.76,363,61.11
Jesper Bratt,N.J,L,223,63.9,430,62.32
Andre Lee,L.A,L,9,50,18,52.94
Mattias Ekholm,EDM,D,186,59.05,484,61.19
Jack Hughes,N.J,C,175,79.19,330,72.05
Pavel Dorofeyev,VGK,R,204,62.96,420,63.06
Nick Schmaltz,UTA,C,279,65.19,465,60.47
Jake Sanderson,OTT,D,184,48.17,397,49.69
Brent Burns,COL,D,132,42.44,404,48.33
Mark Stone,VGK,R,148,62.71,311,59.92
Adam Fox,NYR,D,155,52.54,391,56.02
Arthur Kaliyev,OTT,R,5,71.43,6,50
Gabriel Landeskog,COL,L,150,57.25,286,53.06
Jake Bean,CGY,D,26,46.43,65,54.62
Alex Turcotte,L.A,C,91,58.71,205,56.16
Evan Bouchard,EDM,D,190,59.56,507,62.21
Artturi Lehkonen,COL,L,188,65.05,361,58.13
Drake Batherson,OTT,R,266,76.66,397,67.98
Nate Schmidt,UTA,D,186,50.96,415,52.47
Daniil But,UTA,L,49,56.98,101,59.06
Ilya Solovyov,"COL, PIT",D,32,46.38,86,47.25
Victor Olofsson,"CGY, COL",L,149,56.65,281,53.32
A.J. Greer,FLA,L,163,61.98,285,56.66
Jordan Harris,BOS,D,8,53.33,20,41.67
Jesperi Kotkaniemi,CAR,C,103,64.78,189,61.56
Cale Makar,COL,D,256,66.84,564,62.39
Zakhar Bardakov,COL,C,64,60.38,110,50.23
Cutter Gauthier,ANA,L,161,58.33,349,57.59
Jordan Kyrou,STL,R,166,67.76,307,63.96
Carter Verhaeghe,FLA,C,189,57.8,348,55.41
Mitch Marner,VGK,R,224,66.47,440,63.68
Trevor Moore,L.A,L,123,41.98,258,45.74
Evan Rodrigues,FLA,C,140,54.9,252,51.53
John Carlson,"ANA, WSH",D,141,52.22,391,53.86
Joel Hanley,CGY,D,117,51.77,305,61.24
Hendrix Lapierre,WSH,C,71,50.35,128,51
Artemi Panarin,"L.A, NYR",L,285,70.02,496,63.43
Troy Terry,ANA,R,134,58.01,276,55.98
Pontus Holmberg,T.B,R,123,41.98,196,38.89
Claude Giroux,OTT,R,195,49.74,298,47.83
Topias Vilen,N.J,D,3,42.86,5,38.46
Tim Stützle,OTT,C,269,79.12,403,69.72
Damon Severson,CBJ,D,166,46.76,413,48.59
John Marino,UTA,D,188,48.7,415,49.29
Brandt Clarke,L.A,D,255,66.93,534,61.73
Dougie Hamilton,N.J,D,162,47.51,421,53.16
Timo Meier,N.J,R,171,45.6,337,45.11
Mitchell Chaffee,T.B,R,18,69.23,25,59.52
Shea Theodore,VGK,D,181,48.14,429,52.13
Connor McDavid,EDM,C,207,65.09,468,64.02
Barrett Hayton,UTA,C,141,48.79,251,45.8
Drew Doughty,L.A,D,137,42.68,397,50.57
Nico Hischier,N.J,C,216,46.35,437,48.07
Erik Karlsson,PIT,D,181,52.77,473,55
Zach Werenski,CBJ,D,228,53.02,598,55.73
Kiefer Sherwood,"S.J, VAN",L,130,49.81,243,46.73
Nick DeSimone,UTA,D,57,45.97,151,51.54
Sam Poulin,PIT,R,2,33.33,6,40
Noah Hanifin,VGK,D,241,61.64,489,60
Kevin Fiala,L.A,L,119,55.61,276,55.53
Sean Durzi,UTA,D,148,51.93,357,56.4
Samuel Girard,"COL, PIT",D,93,41.52,272,48.92
Max Crozier,T.B,D,62,59.05,154,59
Sandis Vilmanis,FLA,L,42,76.36,62,65.96
Jackson LaCombe,ANA,D,202,42.53,471,48.16
Luke Hughes,N.J,D,193,49.87,474,56.23
Jeffrey Viel,"ANA, BOS",L,75,50.68,145,47.54
Dominic James,T.B,C,80,61.54,125,56.31
Jack Eichel,VGK,C,229,66.76,444,61.75
Aliaksei Protas,WSH,"C, L",184,52.27,335,48.41
Alex Laferriere,L.A,R,150,45.87,339,48.09
Gavin Brindley,COL,C,76,58.02,130,50.19
Tom Wilson,WSH,R,141,46.08,258,43.07
Jack McBain,UTA,C,134,46.85,249,46.72
Nick Blankenburg,"COL, NSH",D,66,47.83,219,49.77
Gustav Forsling,FLA,D,154,44.9,461,53.42
Charle-Edouard D'Astous,T.B,D,134,51.15,314,51.64
JJ Peterka,UTA,R,209,65.31,345,58.87
